K,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
2,4,Random Sampling,16.74338279301767,0.0017361111111111,0.0034598724586722,0.1269487919926177,0.0128919589915312,0.1567590000049676,,,,,,,,,0.1269487919926177,0.1269417930452618,6.9989473558962345e-06,0.2965997509891167,0.0094937500252854,0.0154961250082124,0.0126757090038154,0.0038750839885324,0.0032567500020377,0.0821443750173784,,,,,,,,,,,,
2,4,Non-random,23.912488792910764,0.0,0.001733699845679,0.3838236250157933,0.0128919589915312,0.1415552909893449,,,,,,,,,0.3838236250157933,0.3838219159806613,1.7090351320803163e-06,0.5382708749966696,,,,,,,0.2715896659938153,0.1115967499790713,0.0006355000077746,,,,,,,,,
2,5,Random Projection,13.989770773093712,0.0,0.0015802496350872,0.0998699170013424,0.0391940410190727,0.1606970420107245,0.0001211669878102,0.0025292499922215,0.0002962909929919,0.0034109579864889,0.0010031670099124,5.379098001867533e-05,6.707996362820268e-06,0.092444499983685,0.0998699170013424,0.0998658319294918,4.085071850568056e-06,0.2997610000311397,,,,,,,,,,,,,,,,,,
2,5,Random Sampling,17.604761802571666,0.0,0.0016867007588769,0.0890555840160232,0.0391940410190727,0.1414349999977275,,,,,,,,,0.0890555840160232,0.0890503340051509,5.250010872259736e-06,0.2696846250328235,0.0065972089942079,0.0069628749915864,0.0101245830010157,0.0009716250060591,0.0047389579995069,0.0596550840127747,,,,,,,,,,,,
2,5,Non-random,23.855741165172237,0.0,0.0016782407407407,0.2913780419912655,0.0391940410190727,0.1164002500008791,,,,,,,,,0.2913780419912655,0.2913762500102166,1.7919810488820076e-06,0.4469723330112174,,,,,,,0.2556222919956781,0.0346213330049067,0.0011326250096317,,,,,,,,,
2,6,Random Projection,13.817275518475466,0.0,0.0008036107318663,0.0772164160152897,0.0204663329932373,0.232913332991302,6.024999311193824e-05,0.0049114589928649,0.0001869999978225,0.0005603749887086,0.0029980410181451,5.5082986364141107e-05,6.457994459196925e-06,0.0684340829902794,0.0772164160152897,0.077212748961756,3.66705353371799e-06,0.330596081999829,,,,,,,,,,,,,,,,,,
2,6,Random Sampling,17.62111160325027,0.0,0.001231829380793,0.134929749998264,0.0204663329932373,0.2162410000164527,,,,,,,,,0.134929749998264,0.1349250430066604,4.706991603597999e-06,0.371637083007954,0.0104160000046249,0.0074898750171996,0.0591280840162653,0.0020017499919049,0.0014311669801827,0.0544581669964827,,,,,,,,,,,,
2,6,Non-random,23.872119076613156,0.0,0.0006793740354938,0.3143620420014485,0.0204663329932373,0.1424277499900199,,,,,,,,,0.3143620420014485,0.3143597090092953,2.3329921532422304e-06,0.4772561249847058,,,,,,,0.247958624997409,0.0651925420097541,0.0012085420021321,,,,,,,,,
2,7,Random Projection,13.628700875556206,0.0,0.0015050958331632,0.0607969580159988,0.0213582919968757,0.1414053330081515,6.187500548548996e-05,0.0032363749924115,0.0003951250109821,0.0005011670000385,0.0039032920030876,0.0001911669969558,1.6125006368383765e-05,0.0524865410116035,0.0607969580159988,0.0607916670269332,5.290989065542817e-06,0.2235605830210261,,,,,,,,,,,,,,,,,,
2,7,Random Sampling,17.530425992328652,0.0,0.0014230755122913,0.0833072919922415,0.0213582919968757,0.1164203340013045,,,,,,,,,0.0833072919922415,0.083301748993108,5.542999133467674e-06,0.2210859179904218,0.0078887499985285,0.0110816249798517,0.0161123330180998,0.0037981669884175,0.0022135830076877,0.0422072910005226,,,,,,,,,,,,
