alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
0.05,17,Random Sampling,0.3390750830003526,0.013708540995139629,0.10884716699365526,,,,,,,,,0.3390750830003526,0.33906849997583777,6.583024514839053e-06,0.4616307909891475,0.006046916998457164,0.014615374995628372,0.040343458007555455,0.0023861659865360707,0.003709709009854123,0.2719668749778066,,,
0.05,17,Non-random,0.40493912500096485,0.013708540995139629,0.1537382499955129,,,,,,,,,0.40493912500096485,0.4049367920088116,2.3329921532422304e-06,0.5723859159916174,,,,,,,0.23232187499525025,0.17146004200913012,0.0011548750044312328
0.05,18,Random Projection,0.11892987502506003,0.01464849998592399,0.11598991698701866,7.158299558795989e-05,0.0097842910035979,0.0008338330080732703,0.0009388329926878214,0.005080750008346513,5.76250022277236e-05,8.95900302566588e-06,0.10214991701650433,0.11892987502506003,0.11892579103005119,4.083995008841157e-06,0.24956829199800268,,,,,,,,,
0.05,18,Random Sampling,0.24148675001924857,0.01464849998592399,0.13884808399598114,,,,,,,,,0.24148675001924857,0.24148066801717505,6.0820020735263824e-06,0.3949833340011537,0.007006667001405731,0.008531625004252419,0.041899792006006464,0.0009717089997138828,0.004372249997686595,0.17869862500810996,,,
0.05,18,Non-random,0.48554049999802373,0.01464849998592399,0.1327715409861412,,,,,,,,,0.48554049999802373,0.48553716600872576,3.3339892979711294e-06,0.6329605409700889,,,,,,,0.264240582997445,0.21984287499799393,0.001453708013286814
0.05,19,Random Projection,0.28478300001006573,0.021919249993516132,0.124366584001109,7.120799273252487e-05,0.004313499986892566,0.0005050000036135316,0.0039564999751746655,0.0011521670094225556,0.0001271250075660646,2.0584004232659936e-05,0.2746297920239158,0.28478300001006573,0.28477587600355037,7.124006515368819e-06,0.43106883400469087,,,,,,,,,
0.05,19,Random Sampling,0.2508256670262199,0.021919249993516132,0.14127587497932836,,,,,,,,,0.2508256670262199,0.25081958301598206,6.084010237827897e-06,0.4140207919990644,0.009123750001890585,0.011299792007775977,0.048540874995524064,0.0014243329933378845,0.0032150000042747706,0.17721583301317878,,,
0.05,19,Non-random,0.41689795898855664,0.021919249993516132,0.13053366699023172,,,,,,,,,0.41689795898855664,0.4168959169765003,2.042012056335807e-06,0.5693508759723045,,,,,,,0.23763279200647958,0.17856133298482746,0.0007017919851932675
0.05,20,Random Projection,0.2838760419981554,0.02577854198170826,0.13803620901308022,6.554200081154704e-05,0.0022955839813221246,0.0001875000016298145,0.004513583000516519,0.002044708002358675,0.0001163340057246387,2.0458013750612736e-05,0.27462795900646597,0.2838760419981554,0.2838716680125799,4.373985575512052e-06,0.4476907929929439,,,,,,,,,
0.05,20,Random Sampling,0.319743792002555,0.02577854198170826,0.15807995799696073,,,,,,,,,0.319743792002555,0.31973716596257873,6.6260399762541056e-06,0.503602291981224,0.00679358298657462,0.011603457998717204,0.05096545899868943,0.0036753329914063215,0.003317957976832986,0.24338137501035817,,,
0.05,20,Non-random,0.31618391699157655,0.02577854198170826,0.14460308299749158,,,,,,,,,0.31618391699157655,0.3161820839741267,1.8330174498260021e-06,0.4865655419707764,,,,,,,0.23667774998466484,0.07847912498982623,0.0010252089996356517
0.1,1,Random Projection,0.10435458298888989,0.018462790991179645,0.1329271249996964,6.937497528269887e-05,0.006732417008606717,0.003435291990172118,0.0006086669745855033,0.003797250014031306,7.087498670443892e-05,8.792005246505141e-06,0.08962662500562146,0.10435458298888989,0.10434929296025075,5.290028639137745e-06,0.2557444989797659,,,,,,,,,
0.1,1,Random Sampling,0.10648137499811128,0.018462790991179645,0.1252240420144517,,,,,,,,,0.10648137499811128,0.10647499799961224,6.376998499035835e-06,0.2501682080037426,0.007344291021581739,0.01379316599923186,0.021221957984380424,0.0009508329967502505,0.0016107920091599226,0.061553957988508046,,,
0.1,1,Non-random,0.30038754202541895,0.018462790991179645,0.1384025840088725,,,,,,,,,0.30038754202541895,0.30038537402288057,2.168002538383007e-06,0.4572529170254711,,,,,,,0.23410987501847558,0.06518466598936357,0.0010908330150414258
0.1,2,Random Projection,0.15437604201724753,0.020186832989566028,0.12981174999731593,6.666700937785208e-05,0.007552291004685685,0.0004110830195713788,0.0005377079942263663,0.0011884169944096357,0.00011125000310130417,1.995800994336605e-05,0.1444833340065088,0.15437604201724753,0.1543707080418244,5.333975423127413e-06,0.3043746250041295,,,,,,,,,
0.1,2,Random Sampling,0.1330970000126399,0.020186832989566028,0.1173618340108078,,,,,,,,,0.1330970000126399,0.13308941503055394,7.584982085973024e-06,0.27064566701301374,0.0094106660108082,0.023412165988702327,0.029712250019656494,0.003990249999333173,0.0017820830107666552,0.06478200000128709,,,
0.1,2,Non-random,0.29006116700475104,0.020186832989566028,0.14460512500954792,,,,,,,,,0.29006116700475104,0.2900582079892047,2.9590155463665724e-06,0.454853125003865,,,,,,,0.23942475000512786,0.049627540982328355,0.0010059170017484576
0.1,3,Random Projection,0.1958068749809172,0.028157916996860877,0.12191958297626115,6.57079799566418e-05,0.010334833001252264,0.00047754100523889065,0.0005604170146398246,0.0011610420187935233,5.7209021179005504e-05,8.957984391599894e-06,0.18313774999114685,0.1958068749809172,0.1958034580165986,3.416964318603277e-06,0.34588437495403923,,,,,,,,,
0.1,3,Random Sampling,0.10804666698095389,0.028157916996860877,0.14867420800146647,,,,,,,,,0.10804666698095389,0.10804112500045449,5.5419804994016886e-06,0.28487879197928123,0.009745082992594689,0.018762166990200058,0.01880212497781031,0.0013061659992672503,0.0029802500212099403,0.05644533401937224,,,
