alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
0.15,2,Random Projection,0.02981679199999121,0.015274207999993905,0.18797162500001718,0.00019133300000362397,0.0038903329999868674,0.0016055419999929654,0.001050542000001542,0.0009135420000063732,0.00036220900000216716,4.054200002201469e-05,0.02175008399999001,0.02981679199999121,0.029804127000005565,1.2664999985645409e-05,0.2330626250000023,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,2,Random Sampling,0.07645270900002288,0.015274207999993905,0.20872641699997985,,,,,,,,,0.07645270900002288,0.07644204099995022,1.0668000072655559e-05,0.30045333399999663,0.005340499999988424,0.009250709000014012,0.029155207999991717,0.0006432079999854068,0.0031473329999869293,0.028905082999983733,,,,,,,,,,,,,,,,,,,,
0.15,2,Non-random,0.45549816600001236,0.015274207999993905,0.22841412500000047,,,,,,,,,0.45549816600001236,0.4554939169999841,4.249000028266892e-06,0.6991864990000067,,,,,,,0.4282442079999953,0.026884959000000208,0.0003647499999885895,,,,,,,,,,,,,,,,,
0.15,2,CountSketch,0.03328429200001892,0.015274207999993905,0.2232707919999939,,,,,,,,,0.03328429200001892,0.03558862499997417,0.0,0.2718292920000067,,,,,,,,,,7.708399999728499e-05,0.002334249999989879,0.002334249999989879,0.0027908330000059323,0.0017198749999920437,0.0007648330000051828,0.0009019579999858252,0.0001217500000052496,1.9458999986454728e-05,0.02452433300001644,,,,,,,
0.15,2,SIGN Bidirectional,0.04467245899999739,0.015274207999993905,0.1740813750000143,,,,,,,,,0.04467245899999739,0.04466116700004363,1.1291999953755294e-05,0.2340280420000056,,,,,,,,,,,,,,,,,,,,0.0001782920000152899,0.00887766700000725,0.005433166000017309,0.0009934590000000298,0.00016149999999015563,3.2500000003210516e-05,0.02898458300001039
0.15,3,Random Projection,0.02856233400001429,0.014639082999991615,0.18025279100001512,0.00017570800000044073,0.0035002920000124504,0.0020409159999985604,0.0007426249999866741,0.0009276669999849219,0.0002888329999848338,1.887499999497777e-05,0.02085908300000483,0.02856233400001429,0.02855399899996769,8.335000046599816e-06,0.22345420800002103,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,3,Random Sampling,0.07803545799998801,0.014639082999991615,0.206284624999995,,,,,,,,,0.07803545799998801,0.07802925000001437,6.207999973639744e-06,0.29895916599997463,0.005211000000002741,0.009205416000014566,0.03086470900001359,0.0006304999999997563,0.0027833750000070268,0.02933424999997669,,,,,,,,,,,,,,,,,,,,
0.15,3,Non-random,0.46921037499998874,0.014639082999991615,0.2295565410000222,,,,,,,,,0.46921037499998874,0.46920675000004053,3.6249999482151907e-06,0.7134059990000026,,,,,,,0.4438355420000164,0.025006083000022272,0.00036512500000185355,,,,,,,,,,,,,,,,,
0.15,3,CountSketch,0.03579083299999297,0.014639082999991615,0.1785859999999957,,,,,,,,,0.03579083299999297,0.03808016499996825,0.0,0.22901591599998028,,,,,,,,,,7.558299998322582e-05,0.002323125000003756,0.002323125000003756,0.0025951249999991433,0.0015409169999998085,0.0009198749999939082,0.0008211659999801668,0.00019108300000425515,3.491600000415929e-05,0.027255249999996067,,,,,,,
0.15,3,SIGN Bidirectional,0.04479058399999758,0.014639082999991615,0.17618612500001518,,,,,,,,,0.04479058399999758,0.04477999899998508,1.0585000012497403e-05,0.23561579200000438,,,,,,,,,,,,,,,,,,,,0.00026454199999648154,0.009832499999987476,0.004909832999999253,0.0009228750000147556,0.0002714999999966494,2.0165999984556038e-05,0.02855858300000591
